,Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
0,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +317 more,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
1,Accenture,4,IT Services & Consulting,1 Lakh+ Employees,Public,34 years old,Dublin +157 more,"Company Culture, Job Security, Skill Development / Learning",Data missing
2,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,29 years old,Teaneck. New Jersey. +136 more,Skill Development / Learning,Data missing
3,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,78 years old,Bangalore/Bengaluru +265 more,Job Security,Data missing
4,ICICI Bank,4,Banking,1 Lakh+ Employees,Public,29 years old,Mumbai +1232 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
5,HDFC Bank,3.9,Banking,1 Lakh+ Employees,Public,29 years old,Mumbai +1471 more,"Job Security, Skill Development / Learning",Data missing
6,Infosys,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,42 years old,Bengaluru/Bangalore +156 more,"Job Security, Company Culture, Skill Development / Learning",Data missing
7,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old,Paris +108 more,"Job Security, Work Life Balance, Skill Development / Learning",Data missing
8,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,32 years old,Noida +171 more,Job Security,Promotions / Appraisal
9,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,37 years old,Pune +248 more,Data missing,Data missing
10,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,26 years old,New York +93 more,"Job Security, Skill Development / Learning, Work Life Balance",Data missing
11,Axis Bank,3.8,Banking,50k-1 Lakh Employees,Public,30 years old,Mumbai +1252 more,Job Security,Data missing
12,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,40 years old,Fremont +100 more,"Job Security, Company Culture",Data missing
